company,hq_country,eur_revenue
AC,POL,59804600.0
AD Auto Total,ROU,445783377.6
AD Baltic,LTU,87510506.0
AD Plastik_x000D_,HRV,129310000.0
ARB Corporation,AUS,411772570.0
AS-PL,POL,80337682.10000001
ASAM SA,ROU,17137440.2
Adient,USA,14284800000.0
Advance Auto Parts,USA,8564370000.0
Aisin Seiki,JPN,27737784900.0
Alvadi,EST,4739360.0
Augsburg International Impex,ROU,173423601.4
Auto Karma,ROU,11681322.0
Auto Partner,POL,840278320.0
AutoZone,USA,16235204370.0
Autoliv,SWE,9741750000.0
Autonet,ROU,375899400.40000004
Autonova,ROU,6700850.4
Autoplaneta,SRB,2417060.0
Benteler International,AUT,8787000000.0
Boryszew Group,POL,1308700000.0
Bosch,DEU,91600000000.0
Brembo,ITA,3849200000.0
Bárdi Auto,HUN,141782479.6
Böhm Plast-Technik,CZE,13899000.0
Clarios,USA,9606900.0
Compa SA,ROU,306880274.0
Conex Distribution SA,ROU,122333025.0
Continental AG,DEU,41420000000.0
D'Ieteren,BEL,5296500000.0
Delphi Technologies,GBR,3255000000.0
Denso,JPN,44593262910.0
Elit Romania Piese Auto,ROU,68027035.60000001
ErlingKlinger,DEU,1847120000.0
Euro Car Parts,GBR,0.0
FORVIA HELLA,DEU,7950000000.0
Ferdinand Bilstein,DEU,3537683.0
Gates,USA,3320100000.0
Gazelakomerc,SRB,24792069.0
Genuine Parts Company,USA,21474267300.0
Good Year Corporate,USA,18661380000.0
HKS Co.,JPN,58218300.0
HL Mando,KOR,5707299024.68
Halfords Group,GBR,1761760000.0000002
Hyundai Mobis,KOR,40292720000.0
Impar,ROU,31344029.6
Inter Cars,POL,4146900000.0
Joyson Safety Systems,USA,7244701846.46
KIT Commerce,SRB,45838000.0
LAVINA Szervíz,HUN,5659427.8
LKQ,USA,12895380000.0
Lamahar,ROU,2800629.4000000004
Lear Corporation,USA,21200000000.0
MAHLE GmbH,DEU,12818000000.0
MEC Diesel,ROU,25854511.8
Magna International,CAN,39801210000.0
Magneti Marelli,ITA,10573000.0
Matador,SVK,237247000.0
Materom,ROU,177071187.0
Mefin,ROU,3761426.6
Meko,SWE,1537742000.0
Metalac FAD,SRB,5660000.0
Michelin,FRA,28528335900.0
Niterra,JPN,3544128000.0
Novelic,SRB,5327410.0
O'Reilly Auto Parts,USA,14705392500.0
OK Serwis,POL,53291.23
Oponeo,POL,430770000.0
Petronas,MYS,58094400000.0
Pieseauto.ro,ROU,1880928.4000000001
Polytec Holding AG,AUT,635987000.0
Randon SA,BRA,2277677000.0
RockAuto,USA,159960000.0
Rába,HUN,189388937.4
Sona Comstar,IND,350328000.0
Star Assembly,ROU,2002706413.0
TEMOT,DEU,6417000.0
TT Parts,HUN,23634000.0
Topas,ROU,18008055.0
Toplac Service,ROU,22845930.0
Unix Auto,ROU,85990648.4
Valeo,FRA,22044000000.0
Videoton,HUN,814560000.0
Witte Automotive,DEU,637700000.0
ZF Friedrichshafen AG,DEU,46627000000.0
